leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
8,100,0.0,28,1,32,
16,100,0.0,93,1,64,
32,100,1.20253625,384,1,128,
8,100,0.0,25,1,32,
16,100,0.0,75,1,64,
32,100,7.84985912,281,1,128,
8,100,0.0,34,1,32,
16,100,0.0,73,1,64,
32,100,-5.85541431,266,1,128,
