leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
8,100,0.0,316,1,32,
16,100,0.0,1863,1,64,
32,100,0.0,14207,1,128,
8,100,0.0,261,1,32,
16,100,0.0,2075,1,64,
32,100,0.0,16426,1,128,
8,100,0.0,264,1,32,
16,100,0.0,1895,1,64,
32,100,0.0,14245,1,128,
