leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
8,100,0.0,41,2,32,
16,100,0.0,126,2,64,
32,100,1.20253625,295,2,128,
8,100,0.0,38,2,32,
16,100,0.0,114,2,64,
32,100,7.84985912,205,2,128,
8,100,0.0,33,2,32,
16,100,0.0,74,2,64,
32,100,-5.85541431,216,2,128,
