leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
8,50,0.0,795,2,32,
8,75,0.0,511,2,32,
8,100,0.0,404,2,32,
8,50,0.0,401,2,32,
8,75,0.0,409,2,32,
8,100,0.0,427,2,32,
8,50,0.0,428,2,32,
8,75,0.0,376,2,32,
8,100,0.0,432,2,32,
