leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
8,100,0.0,404,2,32,
16,100,0.0,1744,2,64,
32,100,0.0,11858,2,128,
8,100,0.0,323,2,32,
16,100,0.0,1650,2,64,
32,100,0.0,10197,2,128,
8,100,0.0,316,2,32,
16,100,0.0,1711,2,64,
32,100,0.0,9777,2,128,
