leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
8,50,0.0,46,1,32,
8,75,0.0,24,1,32,
8,100,0.0,29,1,32,
8,50,0.0,26,1,32,
8,75,0.0,29,1,32,
8,100,0.0,33,1,32,
8,50,0.0,27,1,32,
8,75,0.0,28,1,32,
8,100,0.0,27,1,32,
