leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
16,100,0.0,2587,1,64,
32,100,0.0,18012,1,128,
64,100,0.0,64239,1,256,
128,100,0.0,1007913,1,512,
