"BehaviorSpace results (NetLogo 6.2.0)"
"turtles.nlogo"
"experiment"
"09/16/2021 10:10:17:153 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90"
"step-size","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"num","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7"
"[steps]","69424","100910","73978","55568","51698","56018","65086","53540","58445","67502","66988","43815","48790","38366","59749","32023","95981","83619","55974","61115","54689","43994","43068","40332","64788","53409","38494","45497","44530","44877","14950","18316","14944","18297","18028","13005","20346","20093","21115","15814","14835","14173","12790","21731","14051","10792","13613","15523","16662","11175","9789","15189","12031","13318","14199","15652","10159","11631","11111","10199","7832","8512","7765","9425","8306","8314","9682","11031","8830","7499","9963","6507","5904","5937","10807","5809","5913","6462","5243","9600","6077","5126","6605","5583","5803","5314","7583","7431","7104","6930"

"[initial & final values]","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time","finish-time"
,"69424","100910","73978","55568","51698","56018","65086","53540","58445","67502","66988","43815","48790","38366","59749","32023","95981","83619","55974","61115","54689","43994","43068","40332","64788","53409","38494","45497","44530","44877","14950","18316","14944","18297","18028","13005","20346","20093","21115","15814","14835","14173","12790","21731","14051","10792","13613","15523","16662","11175","9789","15189","12031","13318","14199","15652","10159","11631","11111","10199","7832","8512","7765","9425","8306","8314","9682","11031","8830","7499","9963","6507","5904","5937","10807","5809","5913","6462","5243","9600","6077","5126","6605","5583","5803","5314","7583","7431","7104","6930"
