leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
16,100,0.0,3087,1,64,
32,100,0.0,19281,1,128,
64,100,0.0,151359,1,256,
128,100,0.0,1234684,1,512,
