leaf_size,density,check_value,time_elapsed,count_of_ranks,size_of_matrix,
16,100,0.0,128,1,64,
32,100,-2.0E-8,198,1,128,
64,100,0.0,899,1,256,
128,100,2.5901E-4,4395,1,512,
